X,Y,Z,TYPE,BOUND,com_area,mount,veg,port,h_dev,rivers,USAGE_ALL
9,270,0,sea,no_bound,N,N,N,N,N,N,
9,273,0,sea,no_bound,N,N,N,N,N,N,
9,276,0,sea,no_bound,N,N,N,N,N,N,
9,279,0,sea,no_bound,N,N,N,N,N,N,
9,282,0,sea,no_bound,N,N,N,N,N,N,
9,285,0,sea,no_bound,N,N,N,N,N,N,
9,288,0,sea,no_bound,N,N,N,N,N,N,
9,291,0,sea,no_bound,N,N,N,N,N,N,
9,294,0,sea,no_bound,N,N,N,N,N,N,
9,297,0,sea,no_bound,N,N,N,N,N,N,
9,300,0,sea,no_bound,N,N,N,N,N,N,
9,303,0,sea,no_bound,N,N,N,N,N,N,
9,306,0,sea,no_bound,N,N,N,N,N,N,
9,309,0,sea,no_bound,N,N,N,N,N,N,
9,312,0,sea,no_bound,N,N,N,N,N,N,
9,315,0,sea,no_bound,N,N,N,N,N,N,
9,318,0,sea,no_bound,N,N,N,N,N,N,
9,321,0,sea,no_bound,N,N,N,N,N,N,
12.0,0.0,130.306.743.710,land,no_bound,N,N,N,N,N,N,
12.0,3.0,124.101.392.362,land,no_bound,N,N,N,N,N,N,
12.0,6.0,102.420.568.192,land,no_bound,N,N,N,N,N,N,
12.0,9.0,108.835.614.528,land,no_bound,N,N,N,N,N,N,
12.0,12.0,126.177.948.947,land,no_bound,N,N,N,N,N,N,
12.0,15.0,146.356.506.197,land,no_bound,N,N,N,N,N,N,
12.0,18.0,149.496.478.660,land,no_bound,N,N,N,N,N,N,
12.0,21.0,149.024.108.055,land,no_bound,N,N,N,N,N,N,
12.0,24.0,148.170.531.010,land,no_bound,N,N,N,N,N,N,
12.0,27.0,149.215.808.080,land,no_bound,N,N,N,N,N,N,
12.0,30.0,144.725.765.034,land,no_bound,N,N,N,N,N,N,
12.0,33.0,156.293.239.971,land,no_bound,N,N,N,N,N,N,
12.0,36.0,160.210.526.046,land,no_bound,N,N,N,N,N,N,
12.0,39.0,153.340.639.685,land,no_bound,N,N,N,N,N,N,
12.0,42.0,147.869.549.913,land,no_bound,N,N,N,N,N,N,
12.0,45.0,145.876.853.821,land,no_bound,N,N,N,N,N,N,
12.0,48.0,118.516.248.046,land,no_bound,N,N,N,N,N,N,
12.0,51.0,102.892.965.962,land,no_bound,N,N,N,N,N,N,
12.0,54.0,102.185.431.690,land,no_bound,N,N,N,N,N,N,
12.0,57.0,101.373.857.790,land,no_bound,N,N,N,N,N,N,
12.0,60.0,742.769.117.642,land,no_bound,N,N,veg,N,N,N,veg
12.0,63.0,715.451.300.607,land,no_bound,N,N,N,N,N,N,
12.0,66.0,872.970.547.679,land,no_bound,N,N,N,N,N,N,
12.0,69.0,884.532.650.030,land,no_bound,N,N,N,N,N,N,
12.0,72.0,800.022.037.071,land,no_bound,N,N,N,N,N,N,
12.0,75.0,720.944.416.516,land,no_bound,N,N,N,N,N,N,
12.0,78.0,532.077.815.752,land,no_bound,N,N,N,N,N,N,
12.0,81.0,270.518.315.002,land,no_bound,N,N,N,N,N,N,
12.0,84.0,0.797749208097,land,no_bound,N,N,N,N,N,N,
12.0,87.0,0.263094412935,land,no_bound,N,N,N,N,N,N,
12,90,0,sea,no_bound,N,N,N,N,N,N,
12,93,0,sea,no_bound,N,N,N,N,N,N,
12,96,0,sea,no_bound,N,N,N,N,N,N,
